  PID TTY      STAT   TIME COMMAND
 6300 ?        Sl     1:07 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
 6330 ?        Sl     0:20 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
 6427 ?        Sl     2:51 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
 6955 ?        S      0:06 [kworker/2:2]
 7329 ?        S<     0:00 [kworker/u17:2]
 9060 ?        S      0:02 [kworker/1:0]
 9600 pts/16   Ss+    0:00 /bin/bash
 9687 ?        S      0:02 [kworker/u16:0]
 9951 ?        Sl     0:04 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
10157 ?        S<     0:00 [kworker/u17:1]
10506 ?        S      0:01 [kworker/u16:2]
10578 ?        S      0:00 [kworker/0:0]
10720 ?        Sl     0:09 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
10783 ?        S      0:00 [kworker/3:1]
11023 ?        Sl     0:03 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
11042 ?        Sl     0:09 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
11058 ?        Sl     0:00 /opt/google/chrome/chrome --type=ppapi --channel=2835.113.183856178 --ppapi-flash-args --lang=pl --v8-natives-passed-by-fd --v8-snapshot-passed-by-fd
11453 ?        S      0:00 [kworker/u16:3]
11531 pts/3    T      0:00 sleep 10
11932 pts/3    T      0:00 ./interpreter.run
11978 pts/3    T      0:00 sleep 10
12177 ?        S      0:01 [kworker/0:1]
12189 ?        Sl     0:03 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
12555 pts/3    T      0:00 ./interpreter.run
12559 pts/3    T      0:00 sleep 10
12755 ?        S      0:00 [kworker/1:2]
12784 ?        S      0:00 [kworker/2:1]
12804 pts/3    T      0:00 ./interpreter.run
12808 pts/3    T      0:00 sleep 10
12829 pts/3    T      0:00 ./interpreter.run
13182 ?        S      0:00 [kworker/2:0]
13237 ?        Sl     0:01 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
13305 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
13333 pts/3    S+     0:00 ./interpreter.run
13335 pts/3    R+     0:00 ps ax
